circuitId,street_circuit,road_circuit,race_circuit
23,0,0,1
29,1,0,0
64,0,1,0
58,0,1,0
1,1,0,0
27,0,0,1
32,0,0,1
75,0,0,1
36,0,0,1
18,0,0,1
25,0,0,1
21,0,0,1
76,0,0,1
14,0,0,1
61,0,1,0
3,0,0,1
73,1,0,0
38,0,0,1
68,0,0,1
51,0,1,0
66,0,1,0
4,0,0,1
6,1,0,0
8,0,0,1
67,1,0,0
13,0,0,1
7,1,0,0
52,0,0,1
69,0,0,1
39,0,0,1
34,0,0,1
59,1,0,0
26,0,0,1
37,1,0,0
41,0,0,1
31,0,0,1
42,1,0,0
16,0,0,1
74,1,0,0
10,0,0,1
11,0,0,1
19,0,0,1
5,0,0,1
45,0,0,1
77,1,0,0
35,0,0,1
30,0,0,1
44,1,0,0
54,0,0,1
43,1,0,0
78,0,0,1
15,1,0,0
79,1,0,0
62,1,0,0
49,1,0,0
48,0,0,1
20,0,0,1
50,0,0,1
28,0,0,1
65,0,1,0
33,1,0,0
72,1,0,0
56,0,0,1
70,0,0,1
55,0,1,0
60,0,0,1
53,0,1,0
47,0,0,1
63,0,1,0
2,0,0,1
17,0,0,1
9,0,0,1
71,0,0,1
22,0,0,1
12,1,0,0
46,0,0,1
24,0,0,1
57,0,1,0
40,0,0,1
